feature,value,1,2,3,4,5,6
attn_0_0_outputs,0,0.5297511,0.82812434,0.46574342,-0.87991,-3.6301904,-9.695332
attn_0_0_outputs,1,0.8827651,0.66364795,0.09926628,-1.2316492,-3.0134609,-2.5796568
attn_0_0_outputs,10,0.77492166,0.40201163,-0.0041190255,-0.9782092,-3.2272508,-2.3872032
attn_0_0_outputs,11,0.6023541,0.5735855,-0.29662856,-1.673191,-4.0951447,-2.1265793
attn_0_0_outputs,12,0.74041563,0.3918103,-0.33161405,-1.3367491,-3.0417504,-1.2305667
attn_0_0_outputs,13,0.5981444,0.5451955,-0.13924447,-2.0665152,-3.159723,-33.15532
attn_0_0_outputs,14,0.13018234,0.08040908,-0.6045618,-1.77405,-3.601283,-14.372704
attn_0_0_outputs,15,0.31872055,0.21544929,-0.90119666,-2.6085222,-3.7643843,-10.386839
attn_0_0_outputs,2,0.6881436,0.44996777,-0.1887347,-1.1781492,-3.0260963,-1.1565152
attn_0_0_outputs,3,0.7491066,0.70437205,0.12330223,-1.0636772,-3.0134594,-2.1374102
attn_0_0_outputs,4,0.5626711,0.46677968,-0.1659829,-1.196948,-3.0595696,-3.2421355
attn_0_0_outputs,5,0.21550556,-0.02459145,-0.6501311,-1.7571129,-3.2900746,-2.3209233
attn_0_0_outputs,6,0.32264504,0.20386095,-0.537326,-1.8733579,-3.0438266,-3.318595
attn_0_0_outputs,7,0.5440986,0.40194282,-0.18701637,-1.1955818,-2.8598442,-2.5008047
attn_0_0_outputs,8,0.90749675,0.599549,-0.16173282,-1.2822806,-3.2228887,-0.6876536
attn_0_0_outputs,9,0.544935,0.21394198,-0.21452,-1.9013124,-3.623119,-3.075212
attn_0_1_outputs,0,0.8438781,0.5973334,0.06582382,-1.1330379,-3.289553,-3.4063182
attn_0_1_outputs,1,0.52469707,0.32392868,-0.0534098,-1.5585027,-3.480985,-2.6947794
attn_0_1_outputs,2,0.6110009,0.31323478,-0.09294844,-1.1319059,-4.06989,-3.8329544
attn_0_1_outputs,3,0.79565734,0.49961174,0.23241894,-0.9053239,-2.9519515,-3.0182166
attn_0_1_outputs,4,0.80979246,0.614571,0.17317143,-1.209248,-3.5537984,-4.8963604
attn_0_1_outputs,5,0.56816274,0.13097218,-0.16441399,-1.5849787,-3.49122,-2.1427288
attn_0_1_outputs,<pad>,0.21742472,1.4927624,0.5759079,-1.6887817,-2.1537275,-2.5287485
attn_0_1_outputs,<s>,0.785604,0.5539119,0.091939606,-1.6611003,-4.0000286,-4.607579
attn_0_1_outputs,_,0.3653326,0.8851026,-0.081157885,-1.2502927,-1.65592,-2.5505068
attn_0_1_outputs,_,-0.41636556,1.1022133,0.43430153,-1.3610126,-2.1347933,-1.7111294
attn_0_1_outputs,_,-0.3064448,1.4478109,0.52243245,-1.31404,-1.3134807,1.398138
attn_0_1_outputs,_,0.40638676,1.1803899,-0.33961707,-1.3644893,-2.2165911,-2.3869655
attn_0_1_outputs,_,-0.612845,0.43137014,0.1747917,-1.3398315,-1.9565002,2.2220829
attn_0_1_outputs,_,0.15483813,1.282454,-0.44624993,-1.5474279,-1.6408992,-24.580736
attn_0_1_outputs,_,0.2976879,0.39237306,0.00097227044,-1.295785,-0.8713226,-3.3442068
attn_0_1_outputs,_,-0.5526955,0.21403524,0.36887845,-0.8544674,-0.24025276,-1.2495618
attn_0_2_outputs,0,0.836112,1.5447302,0.5245026,-2.098052,-5.1016173,-1.239216
attn_0_2_outputs,1,0.17004944,0.2984663,-0.25745803,-1.0261592,-1.3482238,-0.88416356
attn_0_2_outputs,10,0.26620996,0.6282272,0.11558178,-1.1012737,-1.9968988,-1.1660659
attn_0_2_outputs,11,-0.021888217,0.99958307,-1.0685223,-1.1595074,-2.8478625,-1.9340678
attn_0_2_outputs,12,0.13403627,1.2363653,-0.27230895,-2.1626763,-3.907653,-1.1125453
attn_0_2_outputs,13,0.7552563,0.95182276,-0.16911475,-0.72268075,-1.6171744,-34.855885
attn_0_2_outputs,14,0.28305975,0.44167015,-0.29950234,-1.4183803,-1.3435007,-10.298289
attn_0_2_outputs,15,0.54379815,1.0940255,0.03699044,-1.3801041,-3.6635933,-7.3619647
attn_0_2_outputs,2,-0.3535251,0.43345404,-0.7944327,-1.0017146,-1.223488,-0.9910262
attn_0_2_outputs,3,0.62373877,0.61732215,-0.27904683,-0.8591028,-2.5268633,-2.0987704
attn_0_2_outputs,4,0.2642866,0.43675068,-0.5511287,-1.3086026,-1.5013928,-1.5330893
attn_0_2_outputs,5,0.05919611,0.7996761,-0.4967298,-0.8950615,-3.318288,-1.7432135
attn_0_2_outputs,6,1.2860783,0.43306518,-0.2230734,-0.78537756,-2.8962326,-1.6451657
attn_0_2_outputs,7,0.9705043,0.7549285,-0.08480389,-0.9547706,-1.4510622,-1.4074582
attn_0_2_outputs,8,0.3199716,0.30672356,-0.5390508,-2.169397,-0.24662063,-3.3198438
attn_0_2_outputs,9,0.15794264,0.30162585,-0.6972821,-1.404972,-3.3508463,-2.1602492
attn_0_3_outputs,0,0.6866627,0.3015772,-0.097052954,-1.8722199,-3.3935716,-3.4509099
attn_0_3_outputs,1,0.47588414,0.46142116,-0.19464058,-0.5690459,-0.8329307,-1.4891652
attn_0_3_outputs,10,0.64676553,0.3247526,-0.23859037,-3.1668253,-4.1590405,-5.363387
attn_0_3_outputs,11,0.25863147,0.3108733,0.5618845,-1.7641876,-1.5738001,-0.58914447
attn_0_3_outputs,12,0.7678068,0.16260886,0.018024582,-1.1390275,-2.029538,-1.6071347
attn_0_3_outputs,13,0.9445839,0.50558865,-0.06712706,-1.9276495,-1.7098835,-34.007378
attn_0_3_outputs,14,0.39876,0.31196895,-0.3606118,-0.8075083,-1.0949332,-12.506358
attn_0_3_outputs,15,0.26563635,0.39339313,0.1382836,-0.5804803,-0.88441145,-7.4256577
attn_0_3_outputs,2,0.97978145,0.59746194,-0.21475956,-1.8188812,-3.439986,-6.463216
attn_0_3_outputs,3,1.0315251,0.6545436,0.26398417,-1.2822864,-2.818304,-2.8283865
attn_0_3_outputs,4,1.0037624,1.0561715,-0.90387356,0.4498458,-2.3164842,-1.4310802
attn_0_3_outputs,5,0.8616653,0.6666927,-0.124697365,-1.6885648,-1.8094422,-2.6137218
attn_0_3_outputs,6,0.50628966,0.40999743,-0.31968927,-2.2144816,-2.4906394,-1.3960518
attn_0_3_outputs,7,0.73735845,0.37651274,0.1043337,-1.2863066,-2.5725508,-3.2919974
attn_0_3_outputs,8,0.64279675,0.33465427,-0.042926814,-1.1121365,-1.5016931,-3.041493
attn_0_3_outputs,9,0.8265491,0.46001813,-0.11848579,-2.3721056,-3.2222543,-2.2244148
attn_1_0_outputs,0,4.7695475,1.141971,-2.298342,-4.8364687,-4.0823936,-5.366695
attn_1_0_outputs,1,-0.2617848,0.6472423,-0.90926445,-0.34300378,-2.5904408,-1.7622603
attn_1_0_outputs,10,-0.117396675,-0.282002,1.1306976,4.6446466,-0.49824658,0.31953096
attn_1_0_outputs,11,0.09863262,0.26681772,-0.53159434,-0.82432145,-1.7627975,-0.2898418
attn_1_0_outputs,12,-0.81252533,0.15098527,0.90506136,-1.046522,-1.5003828,2.4462385
attn_1_0_outputs,13,0.46994644,-0.13439226,-2.365973,-2.2005177,-1.060696,-30.304502
attn_1_0_outputs,14,-0.95512795,0.84468234,-1.4020078,-0.38951573,0.2632256,-3.9440267
attn_1_0_outputs,15,-0.6952797,1.2749928,-0.2480695,-0.22511354,0.50191,-1.1621021
attn_1_0_outputs,2,0.02919993,0.65281266,0.83274955,1.3453981,1.1511337,-3.720216
attn_1_0_outputs,3,-0.045299627,0.027787294,-0.09008716,-1.3778801,0.39887026,-3.839598
attn_1_0_outputs,4,0.4087528,0.57142484,0.7035106,-0.7053548,-1.4179686,-2.4099224
attn_1_0_outputs,5,0.47906792,0.065365374,-0.55663073,-1.6397457,-1.7215652,-1.1053853
attn_1_0_outputs,6,0.44877154,1.3852388,0.5528218,-3.6157188,-8.233306,2.149072
attn_1_0_outputs,7,3.826132,1.9670452,-2.0783272,-3.4899313,-0.7393004,-8.962104
attn_1_0_outputs,8,0.05754808,0.37370032,-0.4970953,1.1275387,-1.6399686,-6.1363845
attn_1_0_outputs,9,-0.0025235973,0.043901198,0.47883978,0.10085035,-2.0616066,-3.5415983
attn_1_1_outputs,0,0.543227,0.38175493,-0.4043899,-0.50731015,-2.684003,-2.1328423
attn_1_1_outputs,1,0.6109293,0.5360077,-0.50210494,-1.6169976,-2.1899729,-3.526032
attn_1_1_outputs,10,0.544557,0.55948424,-0.27783626,-2.0828733,-4.9356894,-2.3422782
attn_1_1_outputs,11,0.121315494,0.03425081,-0.6537826,-2.0679173,-3.2972562,-3.0366187
attn_1_1_outputs,12,0.6482094,0.27549735,-0.13556047,-0.9325639,-3.0613775,-0.83310837
attn_1_1_outputs,13,0.33925194,0.07781654,-0.8792304,-2.3637083,-4.337509,-17.519955
attn_1_1_outputs,14,0.7853347,0.61655474,-0.5135472,-2.644808,-4.637619,-7.647599
attn_1_1_outputs,15,0.39820057,0.4820395,-1.3342952,-3.9797602,-5.3947005,-3.8799036
attn_1_1_outputs,2,0.9173749,-0.16020845,0.274286,-0.9055336,-1.7826366,-2.230849
attn_1_1_outputs,3,1.3875026,0.6235611,0.16410297,-0.47163773,-0.8502682,-1.4714634
attn_1_1_outputs,4,0.8034285,0.739629,-0.29737833,-0.7395649,-1.0133687,-2.00559
attn_1_1_outputs,5,0.9314756,0.7520933,-0.21756978,-0.96722174,-1.8048205,-1.6397903
attn_1_1_outputs,6,0.8000254,-0.11806529,-0.4810753,-1.8263015,-1.4769704,-0.8733978
attn_1_1_outputs,7,0.37240216,0.2659229,-0.81068593,-1.2711061,-1.762581,-3.525708
attn_1_1_outputs,8,0.23093067,0.15527527,-0.69127125,-0.6859072,-0.5997573,1.4885793
attn_1_1_outputs,9,0.37671715,0.19661413,-0.8458252,-1.5859534,-2.680923,-1.9395918
attn_1_2_outputs,0,0.7994553,0.67811364,0.06663526,-0.9603492,-0.9974327,-3.0858214
attn_1_2_outputs,1,-0.025034988,-0.19403397,0.4576588,0.018123424,-0.30850878,0.017699432
attn_1_2_outputs,10,1.7833561,0.9041246,0.165995,-2.7448335,-5.016543,-2.857379
attn_1_2_outputs,11,-0.44358572,0.0061374046,0.41785073,-0.0023256722,0.31287363,1.6895039
attn_1_2_outputs,12,0.4584826,-0.5266625,-0.50780326,1.0204706,1.4489284,3.0680258
attn_1_2_outputs,13,0.2891949,-0.18002217,0.28196216,0.58813983,2.788586,2.7983294
attn_1_2_outputs,14,-0.22385076,-0.43045598,-0.036724824,0.4560514,0.9084386,0.94341725
attn_1_2_outputs,15,1.7246426,1.015131,0.16364318,-2.2368767,-4.3231277,-2.656575
attn_1_2_outputs,2,-1.3388829,-0.96272415,0.83148617,1.5483316,2.0998628,1.5491313
attn_1_2_outputs,3,0.15489526,-0.6436788,0.13792992,0.16953555,-0.008690311,0.21683526
attn_1_2_outputs,4,0.11574318,0.037306443,-0.08254217,0.6817057,1.1270951,0.013976299
attn_1_2_outputs,5,1.0281779,0.8260418,0.53268355,-1.7821697,-3.4588544,-14.504787
attn_1_2_outputs,6,0.051522598,-0.059367083,-0.43871316,1.0475773,-0.7205488,1.55783
attn_1_2_outputs,7,-0.2898789,-0.24061948,0.7012532,-0.12877612,1.7623866,-1.6417235
attn_1_2_outputs,8,-0.5562493,0.004098318,-0.5481068,0.6458065,0.7773713,1.0239352
attn_1_2_outputs,9,-0.16337901,0.40257904,-0.010247165,1.1011317,-0.11652496,0.67357385
attn_1_3_outputs,0,2.3886693,1.9141387,-3.2613168,-5.9324527,-0.76123804,-12.527114
attn_1_3_outputs,1,0.48797122,0.8186833,-0.673873,-0.9454561,-1.7749491,-0.93064815
attn_1_3_outputs,10,-0.23427081,0.020611677,0.87248,0.32470414,-0.2051537,-0.8472979
attn_1_3_outputs,11,-0.47982094,-0.45140976,2.054137,0.1372975,-0.9641099,2.5820765
attn_1_3_outputs,12,-0.7485632,-0.43962267,-0.16591033,0.7864009,-2.163021,5.595259
attn_1_3_outputs,13,0.3592476,1.0281143,-0.90921134,0.5431947,-1.7987099,-10.073756
attn_1_3_outputs,14,0.008715653,-0.65016055,0.8848368,0.21107516,-0.4261424,0.17516477
attn_1_3_outputs,15,-0.43494758,0.16412349,0.37029025,1.0739366,2.9053416,0.0035370537
attn_1_3_outputs,2,7.989822,5.376814,-4.4298897,-4.1724796,-12.954071,3.9550936
attn_1_3_outputs,3,-0.39717805,0.6837213,0.2906212,-0.3539106,0.7724447,-2.8248563
attn_1_3_outputs,4,0.96204126,0.67930603,-0.38545147,-0.3136767,-2.1433132,-1.0031667
attn_1_3_outputs,5,0.15107486,0.3163893,-0.07650224,-1.1565756,-3.6272213,0.10971825
attn_1_3_outputs,6,6.8204308,4.4269443,-4.758106,-4.049976,-0.6401739,-4.4342227
attn_1_3_outputs,7,0.077107444,1.1483635,0.21339576,-0.31619182,-0.7025417,-4.1455917
attn_1_3_outputs,8,-0.09019677,0.38247526,0.29139915,-0.038675215,-1.4568229,-1.8144189
attn_1_3_outputs,9,-0.5600165,-0.39786747,3.0498116,6.966519,-1.009744,0.7766928
attn_2_0_outputs,0,0.42515093,0.7847022,0.14684619,-1.0995247,-1.1247306,-3.3685107
attn_2_0_outputs,1,1.1694995,-0.14040898,0.42790923,0.23373339,-0.4563627,-1.0222864
attn_2_0_outputs,10,2.046699,1.3177351,0.5230685,-2.4047127,-9.354427,-6.1828814
attn_2_0_outputs,11,-0.12714581,-0.27701122,0.34573883,0.240159,-0.5929345,0.4408843
attn_2_0_outputs,12,0.29539958,-1.4896477,-0.30720127,0.7236459,2.603191,3.160216
attn_2_0_outputs,13,-0.11522997,-1.1136526,-0.3847959,0.892848,3.170426,1.8125684
attn_2_0_outputs,14,0.17015477,-0.2295469,0.17770961,1.3263594,1.5549526,0.7027326
attn_2_0_outputs,15,1.2486023,0.6265835,0.28055137,-1.7189857,-0.25554034,-0.76449174
attn_2_0_outputs,2,-0.93811303,-1.0159535,0.5736925,1.7529345,1.6401381,0.44113132
attn_2_0_outputs,3,1.1452,-1.412484,-0.79235345,0.36129826,-0.47618884,0.34251785
attn_2_0_outputs,4,0.6181362,-0.3571521,-0.44023624,0.06075532,0.013132522,0.2922439
attn_2_0_outputs,5,1.5140587,0.34449905,-0.25687042,-2.023628,-1.135164,-6.4303946
attn_2_0_outputs,6,0.40556616,-0.40141508,-0.5018586,1.0936509,-0.8346284,2.3442426
attn_2_0_outputs,7,0.8633372,-1.9373167,-0.37223905,0.6851767,-0.07585453,0.053197734
attn_2_0_outputs,8,0.17360736,-0.36674872,-0.013146214,0.38619193,1.2751945,1.0110884
attn_2_0_outputs,9,0.29139426,0.368617,-0.7155975,1.1367236,-0.42749694,0.93648964
attn_2_1_outputs,0,0.9253378,0.6907259,0.35794523,-0.72057915,-0.80873525,-1.7410849
attn_2_1_outputs,1,0.5954263,0.9750101,-0.1627473,-1.1262879,-0.9558199,-0.9850199
attn_2_1_outputs,10,3.3270848,1.2429591,-0.42293707,-0.9373075,-4.934616,-9.402349
attn_2_1_outputs,11,0.51122504,0.4857234,-0.05499264,-0.66269004,-0.44073817,0.1355689
attn_2_1_outputs,12,-1.1400498,-0.0314249,-0.7241586,-0.28319445,0.47128126,1.2991148
attn_2_1_outputs,13,0.48261207,0.38438988,0.09247899,-0.6323451,-0.29971185,-0.42697233
attn_2_1_outputs,14,0.5067673,0.6444695,-0.050067488,-0.949775,-0.74354255,-1.4865748
attn_2_1_outputs,15,1.1608765,1.2103515,0.6736365,-3.0871048,-1.9145324,5.525501
attn_2_1_outputs,2,0.39937752,0.19852234,0.11511894,-0.44647318,0.31903183,-0.6065519
attn_2_1_outputs,3,0.18474105,0.7232121,-0.7125223,-1.4054114,-0.95557064,-0.9110353
attn_2_1_outputs,4,0.7623302,0.5837405,-0.29614118,-1.0102825,-0.7554319,-0.6514717
attn_2_1_outputs,5,0.9627301,0.7618434,-0.02548728,-3.6759374,-7.052026,-20.210112
attn_2_1_outputs,6,0.76947033,0.3323639,-0.105764486,-1.1092904,-0.81230927,-0.333123
attn_2_1_outputs,7,0.03634617,-0.30554086,-0.50292975,-1.0947543,-0.48671085,-0.7306912
attn_2_1_outputs,8,0.2572545,0.23903099,0.0853756,-0.45405105,0.38149926,0.15620367
attn_2_1_outputs,9,1.1908468,0.24287416,0.60827667,-1.2741507,-3.068664,-4.4131403
attn_2_2_outputs,0,0.9116364,0.69181573,0.08436794,-0.8595855,-0.49665916,-2.8441687
attn_2_2_outputs,1,0.9533523,0.088419616,0.20792307,-0.23275249,-0.3101223,-0.4358576
attn_2_2_outputs,10,2.0430305,1.0663908,-0.44655204,-3.2994707,-5.116234,-5.973955
