epoch,epoch_loss,split,loss,acc,sample_fn
0,1.606649,train,1.4524562,0.34190909279677734,gumbel_soft
0,1.606649,val,1.4571227,0.3318460680423871,gumbel_soft
0,1.606649,test,1.4933584,0.3385168464175236,gumbel_soft
1,1.3744539,train,1.2854623,0.43944018771153887,gumbel_soft
1,1.3744539,val,1.2884315,0.44236846997583196,gumbel_soft
1,1.3744539,test,1.3045603,0.43173647688320377,gumbel_soft
2,1.2091616,train,1.1454057,0.5038102950642663,gumbel_soft
2,1.2091616,val,1.1437283,0.5111544896820971,gumbel_soft
2,1.2091616,test,1.1743339,0.49310258339603713,gumbel_soft
3,1.0677898,train,1.0181046,0.5795178471313773,gumbel_soft
3,1.0677898,val,1.0256201,0.5860754787135155,gumbel_soft
3,1.0677898,test,1.0399915,0.5699356241116963,gumbel_soft
4,0.9984522,train,0.95190924,0.5526381361739239,gumbel_soft
4,0.9984522,val,0.9652268,0.5453615913738613,gumbel_soft
4,0.9984522,test,0.98956543,0.5342362678705794,gumbel_soft
5,0.93112236,train,0.8782734,0.6556614547644262,gumbel_soft
5,0.93112236,val,0.8817877,0.6586726157278304,gumbel_soft
5,0.93112236,test,0.9147961,0.6384081598528552,gumbel_soft
6,0.8852329,train,0.8402914,0.6470545484748438,gumbel_soft
6,0.8852329,val,0.8553852,0.6505856107083101,gumbel_soft
6,0.8852329,test,0.8699607,0.6424212022406154,gumbel_soft
7,0.84690297,train,0.8192348,0.6451130629788825,gumbel_soft
7,0.84690297,val,0.82724535,0.6556051310652538,gumbel_soft
7,0.84690297,test,0.85138136,0.6269542680377895,gumbel_soft
8,0.8228356,train,0.82118547,0.6105504682406196,gumbel_soft
8,0.8228356,val,0.8185195,0.6245584681167503,gumbel_soft
8,0.8228356,test,0.85606873,0.5897500209012624,gumbel_soft
9,0.8161039,train,0.79782987,0.6560040698519487,gumbel_soft
9,0.8161039,val,0.81341386,0.668897564603086,gumbel_soft
9,0.8161039,test,0.82798207,0.6477719254242956,gumbel_soft
10,0.80077106,train,0.80141777,0.6551111941693142,gumbel_soft
10,0.80077106,val,0.82704705,0.6411972485592118,gumbel_soft
10,0.80077106,test,0.8294244,0.6357327982610149,gumbel_soft
11,0.7941612,train,0.7678968,0.6705392553832098,gumbel_soft
11,0.7941612,val,0.77783513,0.6659230340211936,gumbel_soft
11,0.7941612,test,0.79039514,0.6625700192291615,gumbel_soft
12,0.77605826,train,0.7715226,0.6508129321622127,gumbel_soft
12,0.77605826,val,0.78571916,0.6481688046105224,gumbel_soft
12,0.77605826,test,0.7961513,0.6412507315441852,gumbel_soft
13,0.76817465,train,0.80268025,0.6054216242031604,gumbel_soft
13,0.76817465,val,0.82417953,0.5923963562000372,gumbel_soft
13,0.76817465,test,0.8369822,0.581222305827272,gumbel_soft
14,0.75392884,train,0.7280646,0.720259972175502,gumbel_soft
14,0.75392884,val,0.749751,0.7035694366982711,gumbel_soft
14,0.75392884,test,0.766235,0.7114789733299891,gumbel_soft
