feature,value,1,2,3,4,5,6,7
attn_0_0_outputs,0,1.8138897,2.80346,0.58270055,-3.1239996,-6.8323836,-8.086937,-5.726619
attn_0_0_outputs,1,1.6352527,2.5767534,0.2666522,-3.4655237,-8.248175,-1.1043267,-2.5857315
attn_0_0_outputs,10,1.2437444,2.705896,0.6448946,-2.846171,-6.602911,-3.0319877,-1.570665
attn_0_0_outputs,11,1.5611234,2.8568726,0.745241,-2.6372604,-6.81727,-3.263634,-4.959909
attn_0_0_outputs,12,0.9263645,2.6641972,0.72296727,-2.843615,-6.277982,-10.226029,-3.296911
attn_0_0_outputs,13,1.200452,2.9557076,0.9784021,-2.6564028,-5.899909,-10.852625,-4.0734925
attn_0_0_outputs,14,1.5387508,3.070724,1.1110134,-2.3183894,-5.387502,-12.4048815,-6.3696065
attn_0_0_outputs,15,0.8123365,2.509864,0.88137454,-2.36077,-6.713542,-4.087444,-3.772812
attn_0_0_outputs,2,1.731772,2.9193716,0.73724574,-3.0111809,-6.8407736,-8.606174,-2.3231752
attn_0_0_outputs,3,0.97885716,2.1602857,-0.049758982,-3.6551683,-9.152994,-1.9513615,-2.6462667
attn_0_0_outputs,4,1.9258407,2.8662,0.62431973,-2.969253,-8.114351,-1.1926309,-3.1528358
attn_0_0_outputs,5,1.881547,2.9771008,0.80527115,-2.7840106,-6.255328,-13.185638,-3.234881
attn_0_0_outputs,6,1.5043124,2.8430688,0.7087116,-2.8443346,-7.026018,-18.91304,1.9646446
attn_0_0_outputs,7,1.7555736,2.945461,0.7832838,-2.7772262,-6.692943,-11.488844,-2.743004
attn_0_0_outputs,8,1.497701,2.637089,0.47389174,-3.1069598,-7.3755975,-4.5058413,-3.0568266
attn_0_0_outputs,9,1.1617377,2.6940942,0.60011977,-2.9573016,-6.916277,-13.268612,-3.3745189
attn_0_1_outputs,0,1.8428079,2.7295642,0.6314752,-3.3925178,-4.5447063,-6.3070173,-8.291346
attn_0_1_outputs,1,1.0938848,1.8994753,-0.16730236,-4.091922,-5.7240386,-5.2151046,-3.2820191
attn_0_1_outputs,10,1.5926448,2.5603094,0.6024673,-3.4592793,-4.3037744,-10.987788,-3.256904
attn_0_1_outputs,11,1.1658435,2.421119,0.55099714,-3.3767982,-4.0266933,-12.434434,-3.388097
attn_0_1_outputs,12,1.6886451,2.5839596,0.5612599,-3.1788437,-4.69981,-4.1388187,-3.0321522
attn_0_1_outputs,13,0.99501896,2.1794598,0.17691416,-3.457123,-6.184459,1.2581818,-3.964449
attn_0_1_outputs,14,1.8659189,2.6655,0.8491725,-2.964304,-4.5742345,-8.148423,-1.6689252
attn_0_1_outputs,15,1.2834153,2.5219944,0.59843266,-3.2097435,-4.612706,-4.8993864,-1.758973
attn_0_1_outputs,2,2.120583,3.619299,1.9222373,-1.642127,-22.136648,-11.147165,2.3597157
attn_0_1_outputs,3,1.200278,2.1802135,0.119600505,-3.912836,-5.628917,-8.834842,-3.195961
attn_0_1_outputs,4,2.280059,3.0336983,1.0123978,-2.9594905,-12.9934435,-2.3305955,-2.0057967
attn_0_1_outputs,5,1.7822983,2.7110436,0.7564848,-3.1184313,-4.50946,-8.507648,-5.432304
attn_0_1_outputs,6,1.276622,2.484618,0.5302208,-3.3335485,-4.353969,-11.468831,-4.13899
attn_0_1_outputs,7,1.5272511,2.4201348,0.43919235,-3.5587978,-4.93655,-7.5218744,-4.127864
attn_0_1_outputs,8,1.5968341,2.6137216,0.61455244,-3.2586172,-4.1005507,-9.328543,-6.466479
attn_0_1_outputs,9,1.5600932,2.6449046,0.72992504,-3.0811164,-4.7576036,-9.4426,-5.933263
attn_0_2_outputs,0,1.2593133,2.3383129,0.5501116,-2.8045366,-6.393971,-5.785132,-1.7599287
attn_0_2_outputs,1,0.7947476,1.6769868,0.20419934,-3.0716624,-6.4560733,-4.928043,-1.627095
attn_0_2_outputs,10,0.5152403,1.8316516,0.4352719,-2.5386493,-5.6211634,-4.326853,-2.041716
attn_0_2_outputs,11,2.269284,3.329031,0.5169484,-4.06365,-8.419857,-11.012961,-6.8888016
attn_0_2_outputs,12,0.62515014,1.7478653,0.47308698,-2.3065736,-5.175825,-4.612674,-0.4817194
