feature,value,1,2,3,4,5,6,7,8,9
attn_0_0_outputs,0,0.79578125,1.2837145,2.0001707,-0.3795177,-2.6499867,-4.1661844,-5.6908307,-3.946519,-0.3534704
attn_0_0_outputs,1,4.507195,4.940262,3.656439,-0.991366,-5.7816415,-9.179732,-11.969165,-14.699087,-17.475273
attn_0_0_outputs,2,2.816697,4.5388246,3.276071,-1.2754722,-5.990566,-9.624643,-11.440442,-12.524874,-6.163044
attn_0_0_outputs,3,3.2292948,4.4694877,3.2152674,-1.3459615,-6.0086656,-9.519607,-12.332108,-9.321135,-12.803073
attn_0_0_outputs,4,0.99555624,1.4796227,2.0671906,-0.2679662,-2.5394914,-3.6331966,-4.928531,-3.5387666,-1.9058338
attn_0_0_outputs,5,0.7863829,1.6580532,2.6601713,0.09596916,-2.5118246,-4.112589,-5.368572,-4.954423,-0.17094775
attn_0_0_outputs,<pad>,0.8355675,2.2051368,0.48164162,-1.0997114,-2.1945376,-2.4834247,-3.6361208,-2.6156704,-0.29261675
attn_0_0_outputs,<s>,1.6826013,4.2884965,2.990564,-1.5088136,-6.3112054,-9.552967,-12.199196,-10.704964,-8.799375
attn_0_0_outputs,_,0.38597912,1.0173659,0.48632532,0.08227715,-1.0963519,-2.3504896,-2.9886863,-1.8602617,-1.1237941
attn_0_0_outputs,_,1.0404651,0.8831115,0.4556749,0.100298375,-0.64226395,-1.3706839,-2.177965,-1.7898892,-0.32951322
attn_0_0_outputs,_,0.9667209,1.292099,0.56709564,-0.09273595,-0.21643366,-1.4266275,-2.1988144,-1.8917053,-0.7812143
attn_0_0_outputs,_,1.1745545,0.36028707,0.21467955,-0.526115,-0.70703584,-1.542354,-2.3964527,-3.0449586,0.9713478
attn_0_0_outputs,_,1.114153,0.5691312,0.22826107,0.11295074,-0.36639026,-1.3685211,-2.3123949,-1.0034124,-0.3366744
attn_0_0_outputs,_,1.6465797,0.65814143,-0.17151992,-0.4612284,-1.1171718,-1.1951414,-0.8839681,-0.7750859,-0.028588895
attn_0_0_outputs,_,1.6348007,0.2247295,0.0934359,0.07337821,-0.47240356,-0.4139621,-1.7645837,0.91672873,-0.63566625
attn_0_0_outputs,_,1.4348817,0.57393163,-0.39894244,-0.8565766,-1.1726803,-0.031777404,-1.0085086,2.0418975,0.22475338
