feature,value,1,2,3,4,5,6
attn_0_0_outputs,0,1.6091557,1.2436477,-0.4923138,-0.7091961,-2.4466345,-8.1645
attn_0_0_outputs,1,0.18576959,1.5506035,-0.37473744,0.061939232,-1.9514675,-3.8541386
attn_0_0_outputs,2,1.0083492,2.1428964,-0.5969748,-0.93198216,-2.448039,-1.3931701
attn_0_0_outputs,3,1.1943429,2.0878701,-0.62036127,-2.2492368,-1.603405,-5.954697
attn_0_0_outputs,4,0.22375931,1.7685075,-0.49096963,-2.264533,-3.0553224,-2.2794762
attn_0_0_outputs,5,0.3930542,1.3833557,-0.2531195,-0.22107777,-2.632088,-4.523304
attn_0_0_outputs,<pad>,2.500643,2.2161806,0.2739298,-0.8527075,-1.5523486,-2.275954
attn_0_0_outputs,<s>,0.0044647087,0.6615978,-1.2287179,0.28248504,-2.1876798,-2.5602958
attn_0_1_outputs,0,-0.0807385,1.5794154,-0.25326148,-1.0324068,-2.5823648,-2.9228337
attn_0_1_outputs,1,1.4977117,2.3206317,-0.16859172,-1.3324876,-2.5229766,-3.3919802
attn_0_1_outputs,2,0.9471207,1.6633942,-0.44568408,-0.5174392,-1.9545307,-4.802273
attn_0_1_outputs,3,1.4200178,2.014399,-0.17023021,-1.2164193,-1.9983168,-3.9897344
attn_0_1_outputs,4,0.71216524,1.3552182,-0.6120145,-0.67478603,-2.2024655,-3.9702258
attn_0_1_outputs,5,0.3936327,2.0015953,-0.21997507,-1.5335925,-3.3424757,-4.618351
attn_0_1_outputs,6,1.1147732,1.356303,-0.3957698,-0.47200403,-2.7497241,-3.347649
attn_0_1_outputs,7,-0.42768255,1.25635,-0.16565052,0.1751052,-1.6808791,-2.0888717
attn_0_2_outputs,0,1.834014,2.0293837,-0.015239493,-2.089246,-3.36591,-7.694112
attn_0_2_outputs,1,1.3731104,2.8365386,0.12400587,-1.1585424,-2.6966896,-3.303744
attn_0_2_outputs,2,0.599976,1.4368573,-1.465284,-0.40611386,-1.9350963,-1.8058767
attn_0_2_outputs,3,0.4817942,0.944164,0.20566487,-0.5997088,-2.6197078,-4.8846116
attn_0_2_outputs,4,1.2675488,1.7971798,-0.27364063,-0.827729,-2.5975873,-4.9583225
attn_0_2_outputs,5,0.76249087,2.5291538,-0.016299292,-1.2935846,-2.2488062,-7.3109107
attn_0_2_outputs,<pad>,0.46503285,1.095171,-0.4220708,-0.28323647,-0.7502475,-0.36977082
attn_0_2_outputs,<s>,0.5684369,1.1209677,-0.60287094,-1.2449536,-3.0148,-2.0451322
attn_0_3_outputs,0,-0.71705997,-0.5641786,-0.98387,0.62539303,-1.8201088,-3.086998
attn_0_3_outputs,1,1.456782,2.0036922,0.4172555,-1.4275267,-3.8013735,-5.4039817
attn_0_3_outputs,2,0.89984703,1.8309947,0.111624576,-1.1494997,-2.5442462,-5.3751235
attn_0_3_outputs,3,0.98748547,1.6514034,0.25987643,-0.5318906,-2.1928778,-1.2180071
attn_0_3_outputs,4,1.750786,1.9660766,0.68177545,-1.0883889,-2.7249708,-2.7178187
attn_0_3_outputs,5,-0.2023395,0.47632414,-1.3141377,0.6099784,-0.94720495,-3.1378376
attn_0_3_outputs,6,1.1242313,1.7216206,0.23443447,-1.9091525,-3.916336,-4.3893447
attn_0_3_outputs,7,1.5236238,1.8078324,0.50097924,-0.95192015,-0.93459684,-1.388955
attn_1_0_outputs,0,-0.4000021,2.7502084,1.3734283,-5.1092763,-3.5007465,-2.0954978
attn_1_0_outputs,1,1.6590667,1.7938216,0.4226115,-2.843881,-5.452072,-3.5785751
attn_1_0_outputs,2,0.69056207,0.36737543,0.045104798,-0.15930091,-1.743251,-2.4925926
attn_1_0_outputs,3,0.86262065,1.9374013,0.9387173,-3.9419103,-2.4189117,-0.27599356
attn_1_0_outputs,4,-0.06452992,0.52002585,-0.26606715,-0.50348496,-0.60264117,-1.3712615
attn_1_0_outputs,5,0.6469736,1.4390677,-0.9674348,-0.13955936,-1.5118872,-1.3782506
attn_1_0_outputs,6,-0.18900189,0.85625285,1.3490685,-1.9693302,-1.2192388,-1.1860565
attn_1_0_outputs,7,-0.06266162,-1.7498755,-2.5034792,3.8209627,-2.1603465,-6.038891
attn_1_1_outputs,0,0.3260763,1.4567721,0.9645684,-1.3084563,-1.9688761,-5.0801253
attn_1_1_outputs,1,0.831828,1.7297609,0.68762463,-1.1012452,-1.8359754,-2.6015096
