feature,value,0,1,2,3,4,5,<s>
attn_0_0_outputs,0,-0.18867572,0.17066589,-0.29272828,-0.62727666,-0.30667853,-0.6320968,0.59926236
attn_0_0_outputs,1,0.5773119,2.0077655,-0.3744971,0.15931506,0.31890097,-0.1128406,-5.398864
attn_0_0_outputs,2,0.25965104,-1.9205279,0.8143588,0.20974813,0.16679183,0.19567409,0.57239354
attn_0_0_outputs,3,0.39553812,-0.7333329,0.047197137,0.09880026,-0.0033690499,-0.065551475,-0.060999617
attn_0_0_outputs,4,0.25763193,-0.15512945,0.2045118,-0.14335708,0.07291632,0.13178435,0.22646362
attn_0_0_outputs,5,-0.23024073,0.037670463,-0.16811232,-0.4974911,-0.5332192,-0.8011111,3.6085443
attn_0_0_outputs,<pad>,-0.38417214,0.05983946,0.18646598,-0.2507681,-0.3661629,-0.2959238,0.2043038
attn_0_0_outputs,<s>,0.40332773,-3.8391347,0.44932872,0.46341506,0.20290922,0.26050064,2.0960968
attn_0_1_outputs,0,1.0334532,-0.3260302,0.43610808,0.5448549,0.90233004,-0.35186243,0.7875217
attn_0_1_outputs,1,0.10092459,0.9336532,-0.4547315,-0.19231541,-0.3941504,-0.3017718,-0.027224293
attn_0_1_outputs,2,-0.0053809183,-0.9560403,1.0380328,-0.8004276,0.5894563,0.13470536,-0.7365818
attn_0_1_outputs,3,0.85961276,0.15267313,0.06061433,0.8549133,0.98308635,-0.2653694,-1.0993743
attn_0_1_outputs,4,0.074719824,-0.20416085,-0.026196431,-0.051850174,1.9700574,-0.08192056,0.57220685
attn_0_1_outputs,5,0.13298322,-0.3956681,-0.54963404,-0.41624182,-0.58531284,0.5743796,0.7002447
attn_0_1_outputs,<pad>,0.30812952,0.0767413,0.5322274,-0.05544459,0.44469735,-0.047989313,-0.071896404
attn_0_1_outputs,<s>,0.88610566,-0.08942105,-0.046815917,0.93113434,-0.88621545,-0.5374864,-0.88558066
attn_0_2_outputs,0,-0.041521966,-0.06000897,0.18542098,0.2984118,0.32155415,-0.2037459,-0.37807512
attn_0_2_outputs,1,-0.026482202,0.1335111,-0.8164409,0.32818714,0.90599287,0.39507762,2.4350677
attn_0_2_outputs,2,0.22243506,0.013852194,0.6864573,0.45841557,0.5629386,0.086567044,-0.49373147
attn_0_2_outputs,3,0.27538148,-0.0697753,0.5543178,0.46959797,0.4480594,-0.20120507,-1.8966478
attn_0_2_outputs,4,0.47516373,-0.25803792,0.5730069,0.23467009,0.35259235,-0.06497633,-0.35799724
attn_0_2_outputs,5,0.22923166,-0.52694046,0.30568814,-0.13530128,-0.23388387,0.3207897,-0.09937627
attn_0_2_outputs,<pad>,0.26226112,0.17948627,0.09069604,0.012320348,0.08927009,-0.18839951,-0.054238267
attn_0_2_outputs,<s>,-0.03446388,0.16103719,0.8801663,0.6561659,-1.1763743,-0.07198826,-0.7667029
attn_0_3_outputs,0,1.6964139,-0.65187645,-0.19938037,-0.38721547,-0.30709535,-0.19161436,-1.0031599
attn_0_3_outputs,1,-0.31389076,1.582303,-0.10736954,-0.30656257,-0.2337288,0.054285426,-0.14985311
attn_0_3_outputs,2,-0.3259591,-0.12803392,1.6080891,-0.14069434,-0.06992584,-0.041614708,0.037114967
attn_0_3_outputs,3,-0.4029822,-0.6950074,-0.39318642,1.8602836,-0.5142042,-0.33088964,-1.2307856
attn_0_3_outputs,4,-0.33051464,-0.7432775,-0.30665612,-0.1846517,1.6920295,-0.15773174,-0.8928655
attn_0_3_outputs,5,-0.1605006,-0.44265288,-0.17240413,-0.15032823,-0.22227807,1.4395466,0.0070230984
attn_0_3_outputs,<pad>,0.5265568,0.037821315,-0.48247296,0.19483528,0.6673949,0.4081007,0.0012406585
attn_0_3_outputs,<s>,-0.98827416,-0.3113336,-0.9957439,-1.0371724,0.09585008,-0.030480612,3.8097653
attn_0_4_outputs,0,1.1639323,-0.037610807,-0.28391305,-0.2888088,-0.43951055,-0.4072316,-1.2025495
attn_0_4_outputs,1,0.1413376,1.0663983,-0.15416248,-0.21158125,-0.18772879,0.1766953,-0.34278965
