feature,value,0,1,2,3,4
attn_0_0_outputs,0,3.6638672,-2.5091631,-1.0516622,-2.4359527,-1.9711492
attn_0_0_outputs,1,-0.6630489,4.0093837,-1.6520375,-2.1126795,-0.7889223
attn_0_0_outputs,2,-0.41959187,-0.8472583,2.0696287,-0.27503997,-0.275541
attn_0_0_outputs,3,-0.8903695,-0.19613652,-0.6648478,2.7022536,1.5247358
attn_0_0_outputs,4,-0.580661,-2.211264,-1.4596918,1.7450135,3.389066
attn_0_0_outputs,</s>,0.27937427,-0.47018605,2.4024892,0.28134662,-1.5863597
attn_0_0_outputs,<pad>,-0.0071211956,0.1950675,0.09410687,0.07310096,0.29031175
attn_0_0_outputs,<s>,-0.105363645,0.031038195,-0.105919085,-0.7971544,0.06046768
attn_0_1_outputs,0,1.0210462,-2.8254654,1.5957749,-2.6462107,-1.4158354
attn_0_1_outputs,1,-0.8131113,3.9668243,-0.14963071,-2.1108682,-2.736515
attn_0_1_outputs,2,0.98075616,-1.3984594,0.91879123,-0.9140604,-1.0167857
attn_0_1_outputs,3,-0.78309894,-2.9000695,3.1544564,0.56042016,1.2393208
attn_0_1_outputs,4,-1.1107519,-0.12155793,-5.020149,0.4413705,3.8435872
attn_0_1_outputs,</s>,-1.0015574,-0.3531171,0.6371419,2.8445745,-1.1518728
attn_0_1_outputs,<pad>,-0.16993415,0.057989545,-0.22991711,-0.16970743,-0.26796976
attn_0_1_outputs,<s>,-0.22213757,0.68941647,-0.075852595,1.2692921,-1.4668353
attn_0_2_outputs,0,2.9092124,-1.6931778,-3.0376403,-2.4421213,-1.0046767
attn_0_2_outputs,1,0.051158424,4.1676397,-2.2709692,-2.7725463,-1.0061235
attn_0_2_outputs,2,-1.2727332,-1.8121946,5.5973372,-0.622075,-3.3296814
attn_0_2_outputs,3,-1.0236286,-2.7777262,0.79387325,3.8821707,0.14155744
attn_0_2_outputs,4,-0.7118111,-1.0089865,-2.6929078,-1.0252565,5.080034
attn_0_2_outputs,</s>,-0.7107079,1.1478778,-1.4307909,1.9469336,-2.267261
attn_0_2_outputs,<pad>,0.17149219,-0.13110892,0.27663594,0.02891413,0.49361488
attn_0_2_outputs,<s>,0.13509429,-0.34420484,0.31951335,-0.7075618,0.06993576
attn_0_3_outputs,0,3.9076385,-3.628376,-0.3107246,-2.2987993,-1.998344
attn_0_3_outputs,1,-1.5010877,4.566025,-0.38383207,-2.4696643,-1.2283663
attn_0_3_outputs,2,-0.5436453,-0.8161884,4.304389,-1.4976064,-1.405135
attn_0_3_outputs,3,-0.76056075,-2.7831738,0.6021974,3.5951202,-0.38582632
attn_0_3_outputs,4,-1.470052,-0.43748623,-1.9355109,-0.45313072,4.3687897
attn_0_3_outputs,</s>,0.3139228,1.5258348,-1.6583732,0.3311127,0.26328075
attn_0_3_outputs,<pad>,0.6778894,0.13932581,-0.16785386,0.048844013,0.061962362
attn_0_3_outputs,<s>,0.025821188,0.1338417,-0.82498163,0.05704657,-0.9325342
attn_0_4_outputs,0,2.7807722,-1.543481,-1.8991561,-2.6289055,-1.5772645
attn_0_4_outputs,1,-1.1063241,2.6315641,-0.6909778,-1.4267116,-0.55801696
attn_0_4_outputs,2,-1.3244339,-0.9910822,3.4993682,-2.3151643,-0.20552765
attn_0_4_outputs,3,-0.6278272,-0.35334173,-2.4637077,3.8296344,-0.2047718
attn_0_4_outputs,4,-1.2013084,-0.43047562,0.30478102,-1.313698,2.56348
attn_0_4_outputs,</s>,-0.4272218,1.6812807,-0.5418132,0.41308814,-0.37608394
attn_0_4_outputs,<pad>,-0.016107202,-0.42857572,0.052615445,-0.7723583,0.0009818162
attn_0_4_outputs,<s>,0.29007939,-0.19392829,0.057024293,-0.94652164,0.37476972
attn_0_5_outputs,0,3.170203,-2.3838074,-0.23431589,-2.313334,-1.1530676
attn_0_5_outputs,1,-0.07306865,2.9907656,-0.82089466,-2.7987502,0.04211525
attn_0_5_outputs,2,-0.4313597,1.3114802,2.3596764,-0.9260944,-0.51857346
attn_0_5_outputs,3,-0.42056328,-1.4308773,-0.40373412,2.2350326,1.2124509
attn_0_5_outputs,4,-1.2378334,-1.1187049,-1.2269137,0.72470903,2.8239844
attn_0_5_outputs,</s>,-0.28489116,1.2962096,-1.8740683,1.8811082,-1.7399184
attn_0_5_outputs,<pad>,-0.6329543,0.4088417,-0.49822798,0.025694285,0.7676704
attn_0_5_outputs,<s>,-0.14913332,-0.56430256,0.11780808,-0.5315142,1.2362787
attn_0_6_outputs,0,2.6560407,-2.439267,-1.4356478,-1.7882229,0.4473524
attn_0_6_outputs,1,-1.4233627,3.5968518,-1.3138794,-1.7216276,-1.3718041
attn_0_6_outputs,2,-1.3380724,-1.7939013,2.5463376,-1.1868699,-0.43486446
attn_0_6_outputs,3,-1.5440066,-1.1328409,-0.08501622,3.9412444,-0.18341795
attn_0_6_outputs,4,-0.1595011,-1.5215569,-0.72710794,-0.47567153,1.9044487
attn_0_6_outputs,</s>,0.09187681,0.80798537,0.7182282,0.37304726,-0.46543714
attn_0_6_outputs,<pad>,0.07078825,-0.17315495,0.47046223,0.21990897,0.12473495
attn_0_6_outputs,<s>,-0.08148478,-0.27307692,-0.08099002,-1.1479658,0.29159576
attn_0_7_outputs,0,2.8556037,-0.5453704,-1.1373312,-2.9037745,-1.3514975
attn_0_7_outputs,1,-0.5196559,2.4454057,-0.6627144,-1.6248888,-1.796975
attn_0_7_outputs,2,-1.141834,-0.6006382,4.3460197,-2.0154934,-0.40640572
attn_0_7_outputs,3,-1.1746343,0.19574657,-1.7349596,4.131382,-1.1424433
attn_0_7_outputs,4,-1.0142375,-1.2279286,-0.15094665,-2.7914429,4.5040646
attn_0_7_outputs,</s>,-0.21800677,0.6605557,-0.4203523,0.09086127,0.4058456
attn_0_7_outputs,<pad>,-0.24909043,0.37295267,-0.13826993,-0.44431192,0.39071932
attn_0_7_outputs,<s>,-0.040507652,-0.26675394,0.018862264,0.05514091,1.1231409
attn_1_0_outputs,0,-1.834072,0.5125852,0.2843883,1.1700047,1.0629946
attn_1_0_outputs,1,0.3391658,-1.8027273,0.71439,-0.28173524,0.22246096
attn_1_0_outputs,2,0.022939887,1.5879319,-4.3920956,-0.11737454,0.58333707
attn_1_0_outputs,3,-0.2734899,2.000175,0.54049784,-2.9780152,0.7737864
attn_1_0_outputs,4,0.33424017,1.5592425,1.7799816,-0.23841389,-1.9052707
attn_1_0_outputs,</s>,0.33404392,-1.4938693,0.6949552,1.2336887,-0.012214979
attn_1_0_outputs,<pad>,0.05483431,0.23041092,0.008471896,0.16951251,-0.27664346
attn_1_0_outputs,<s>,0.47750553,-0.7964183,0.8707638,0.71746725,0.40286395
attn_1_1_outputs,0,-1.3934634,1.1477422,1.8020176,0.89755386,1.1358
attn_1_1_outputs,1,1.3352288,-2.1352959,0.65869606,1.2766263,0.29878828
attn_1_1_outputs,2,1.1926887,1.4659296,-3.1417632,0.65323883,1.2442309
attn_1_1_outputs,3,0.4194816,0.9681093,1.5065709,-2.7964928,0.7048682
attn_1_1_outputs,4,0.89708704,0.26746204,0.23392937,0.75126565,-2.2854075
attn_1_1_outputs,</s>,-0.10404768,0.7065821,0.30703497,-0.48565555,-0.19207504
attn_1_1_outputs,<pad>,0.27551222,-0.16216674,0.3558194,-0.5913728,-0.2239577
attn_1_1_outputs,<s>,-0.2630975,0.08155908,0.12163008,-0.50814354,-0.2407592
attn_1_2_outputs,0,1.555792,-0.99012595,-1.1874986,-1.1482289,-1.4850216
attn_1_2_outputs,1,-0.19163811,1.2877383,-1.1428953,-0.07322605,-1.249062
attn_1_2_outputs,2,-0.034360252,-0.5948787,1.0344771,-0.8423185,-0.08889727
attn_1_2_outputs,3,-0.49070343,-0.32769766,-0.8499529,2.7410824,-1.2227921
attn_1_2_outputs,4,0.24313208,-0.35698876,-0.51614267,-0.31009516,2.0061703
attn_1_2_outputs,</s>,1.4941516,-1.3119909,-0.17266822,-2.0476236,2.467811
attn_1_2_outputs,<pad>,-1.244519,0.24035922,0.28785664,0.1418457,-0.29137665
attn_1_2_outputs,<s>,0.508478,0.18988076,1.4009647,-1.4243208,-0.30749083
attn_1_3_outputs,0,-6.1032825,3.0785227,2.3474257,3.4271424,4.2792506
attn_1_3_outputs,1,1.2436558,-6.73772,1.6193061,3.6051297,2.9909449
attn_1_3_outputs,2,0.8749959,1.5435221,-7.414477,2.8901038,2.2188993
attn_1_3_outputs,3,1.0058439,2.9825962,2.6070623,-7.961617,1.1417058
attn_1_3_outputs,4,2.1900158,0.5990243,1.2030276,1.5550587,-6.9818864
attn_1_3_outputs,</s>,-0.21185017,-0.6264853,2.3691978,-0.9102377,0.5666527
attn_1_3_outputs,<pad>,0.4518218,0.17100747,0.5239038,0.5539756,-0.16453932
attn_1_3_outputs,<s>,-0.2912674,0.24431626,-0.8032733,-0.576976,0.28538358
attn_1_4_outputs,0,0.018652689,-0.47775364,-0.4413024,-0.29471272,-0.32602113
attn_1_4_outputs,1,0.50164384,0.1701568,0.69018227,-0.551357,-0.34343213
attn_1_4_outputs,2,-0.6744091,-0.20097886,-0.31537056,-0.61257696,-0.028698165
attn_1_4_outputs,3,0.427634,0.26435393,0.22061507,-0.21748193,0.23142114
attn_1_4_outputs,4,0.25470302,-0.2853735,-0.26682535,-0.4223815,1.1155188
attn_1_4_outputs,</s>,0.37269473,-0.23562923,0.7584234,0.037664678,0.32440946
attn_1_4_outputs,<pad>,0.42447555,-0.15790702,-0.13715978,0.45806763,0.48275724
attn_1_4_outputs,<s>,0.112237446,1.8719765,-0.12361845,-0.13650422,-0.62981695
attn_1_5_outputs,0,3.993665,-2.162753,-1.8673999,-2.9323647,-1.7792602
attn_1_5_outputs,1,0.86575335,3.8384926,-1.1770031,-2.3508687,-1.4393382
attn_1_5_outputs,2,-0.52051616,-1.3267279,5.247777,-1.7546704,-1.9399217
attn_1_5_outputs,3,-0.02494916,-1.6656092,-0.7273775,5.3271985,-1.4455124
attn_1_5_outputs,4,0.9339032,-1.3088722,-2.0632963,-2.7078443,3.0975485
attn_1_5_outputs,</s>,-1.9632071,1.5684685,-1.6430384,1.6036291,0.9786798
attn_1_5_outputs,<pad>,-0.20785528,-0.36156636,-0.37799877,0.027080083,-0.44774166
attn_1_5_outputs,<s>,-1.7325164,0.62388223,-0.2915156,0.45626387,0.58134013
attn_1_6_outputs,0,2.9201744,-0.89709467,-0.9673731,-0.10332825,-4.256641
attn_1_6_outputs,1,0.0784402,5.099965,-1.1417927,-4.7907424,-0.9775025
attn_1_6_outputs,2,0.33417436,-1.9662682,3.0404508,-4.59859,0.97596025
attn_1_6_outputs,3,-1.0194972,-1.324615,-0.6368444,4.27631,-2.423726
attn_1_6_outputs,4,-1.807949,-2.2003083,-1.1904591,-1.0331482,4.912589
attn_1_6_outputs,</s>,-0.9805376,0.7682902,0.19060323,2.2006187,-0.5105953
attn_1_6_outputs,<pad>,0.3161047,0.30598143,-0.035476062,0.25162217,0.2776736
attn_1_6_outputs,<s>,-0.25235242,-1.7070638,-0.24793339,0.020107023,1.1475627
attn_1_7_outputs,0,-1.9127705,0.6511178,1.1550977,1.6524744,2.278492
attn_1_7_outputs,1,0.56032693,-2.946783,1.2916358,1.2690322,1.6842299
