feature,value,0,1,2,3,4
attn_0_0_outputs,0,0.34574947,1.2278587,0.54621905,-0.66586137,-1.428503
attn_0_0_outputs,1,-0.63415813,0.6654129,0.34571084,-0.16498192,0.24812381
attn_0_0_outputs,2,-0.029480236,0.16185696,1.4072978,0.5710889,-1.0562599
attn_0_0_outputs,3,-0.7326802,-0.416611,-0.014171084,0.9370974,1.214254
attn_0_0_outputs,4,-1.8271589,-2.759662,-2.6311176,0.9463042,3.904689
attn_0_0_outputs,</s>,-0.97870785,-0.2344929,0.3484365,-0.14818336,-0.10402769
attn_0_0_outputs,<pad>,-0.02143183,-0.5699682,-0.23009163,0.33803833,-0.014599709
attn_0_0_outputs,<s>,-0.63093585,-0.84068155,-0.43877876,0.36954105,0.5234206
attn_0_1_outputs,0,2.377727,1.0893486,-0.19814166,-1.7018682,-2.278974
attn_0_1_outputs,1,-0.3869665,0.8286903,0.23992088,-0.07471321,-0.8255158
attn_0_1_outputs,2,-0.16439788,-0.10076935,1.1550884,0.028230833,-0.99571717
attn_0_1_outputs,3,-0.9534986,-0.5031711,0.52447385,0.90330184,0.56208247
attn_0_1_outputs,4,-3.2064328,-2.6689186,-1.2833855,1.6082345,3.8225682
attn_0_1_outputs,</s>,-1.3799822,-0.9407514,-0.73682207,-0.5160088,1.9479817
attn_0_1_outputs,<pad>,0.54333997,-0.65753144,0.47043633,0.11576005,0.206215
attn_0_1_outputs,<s>,-1.0410166,1.0672725,1.7502923,1.2304658,-0.55320084
attn_0_2_outputs,0,0.011763645,1.290538,2.4866204,0.6027204,-2.21341
attn_0_2_outputs,1,-0.77946025,3.2809017,-0.4252543,-2.0078948,-0.2830858
attn_0_2_outputs,2,0.14480782,-1.010632,0.83310324,0.19508533,-0.18428649
attn_0_2_outputs,3,-0.34608567,-1.278543,0.31485897,0.76717544,0.96743315
attn_0_2_outputs,4,-2.3799052,-2.5489585,-2.39208,1.4743671,4.0459213
attn_0_2_outputs,</s>,0.37535772,-0.021868281,0.2000592,0.20921062,0.18223128
attn_0_2_outputs,<pad>,0.4245843,0.16859366,0.46584606,-0.26822758,0.45370945
attn_0_2_outputs,<s>,1.416592,-3.685737,0.7711985,1.6683748,1.2952873
attn_0_3_outputs,0,-0.31984627,-0.059468605,0.73767686,0.80784434,-1.3553791
attn_0_3_outputs,1,1.0344087,1.8193159,0.05016112,-1.4991974,-1.0522834
attn_0_3_outputs,2,-1.3756368,-0.1204217,-1.0980277,0.59319013,1.4198985
attn_0_3_outputs,3,-0.4579617,-1.0808018,0.49966532,0.43196714,0.38940388
attn_0_3_outputs,4,-1.840939,-1.7851946,-2.5961938,1.6849785,3.5251758
attn_0_3_outputs,</s>,-0.08955607,-0.26109985,-0.026729036,0.001923565,-0.37611076
attn_0_3_outputs,<pad>,-0.6429119,-0.32588792,-0.31873208,-0.026604045,-0.15937527
attn_0_3_outputs,<s>,1.0740318,-1.8324432,1.8307394,0.55017275,-0.17499082
attn_0_4_outputs,0,0.020688327,-0.19819306,0.36032137,-0.41597447,0.54045075
attn_0_4_outputs,1,0.50490326,2.9940574,-1.652931,-1.9038173,-0.41444284
attn_0_4_outputs,2,-0.40618804,-0.5068242,0.8355648,-0.08995795,0.2209612
attn_0_4_outputs,3,-2.0034215,-2.0801675,-2.757267,5.1371317,1.6056573
attn_0_4_outputs,4,-3.0916088,-1.0849211,0.69386405,0.03607688,2.037843
attn_0_4_outputs,</s>,0.052671272,0.13542429,0.45672444,0.788091,0.47306192
attn_0_4_outputs,<pad>,-0.5185338,-0.37506422,0.23160237,0.7707849,1.0393046
attn_0_4_outputs,<s>,0.5525963,-1.032219,1.1030209,-1.0909702,-0.58507216
attn_0_5_outputs,0,5.2049236,-1.1087786,-2.636585,-1.1403637,-0.23431504
attn_0_5_outputs,1,-2.3116596,1.8044214,2.3597307,-1.3172964,-2.4876623
